ID,Host,Host_Type,Event,Tactic,Technique
2019_T01_001,nationals-t1-vdi-kali01,Attacker,root 17817 1 1.3 00:00:00 0.1 13392 32656 pts/1 S 00:03 psql -h_10.0.2.100_-U_postgres_--password_postgres,Lateral Movement,Valid Accounts
2019_T01_002,nationals-t1-bank-core-01,Victim,"{""endtime"":""2019-11-23T01:43:49.078028Z"",""timestamp"":""2019-11-23T01:43:32.965160Z"",""bytes"":5407,""src_ip"":""10.0.254.201"",""src_mac"":""42:01:0A:00:02:01"",""src_port"":50026,""canceled"":1,""connection"":""10.0.2.100:5432"",""client_rtt"":10675,""client_rtt_packets"":4,""client_rtt_sum"":42702,""ack_packets_in"":7,""bytes_in"":2617,""data_packets_in"":8,""duplicate_packets_in"":0,""missing_packets_in"":0,""packets_in"":16,""app"":""ssl"",""server_rtt"":52,""server_rtt_packets"":1,""server_rtt_sum"":52,""dest_ip"":""10.0.2.100"",""dest_mac"":""42:01:0A:00:02:64"",""dest_port"":5432,""ack_packets_out"":2,""bytes_out"":2790,""data_packets_out"":8,""duplicate_packets_out"":0,""missing_packets_out"":0,""packets_out"":10,""tcp_status"":0,""time_taken"":16123543,""flow_id"":""817df2c7-14ec-41f2-b3c9-2731169ce8a5"",""protocol_stack"":""ip:tcp:postgres:ssl:unknown"",""initial_rtt"":936}",Lateral Movement,Valid Accounts
2019_T01_003,nationals-t1-vdi-kali06,Attacker,nmap -n 10.0.2.0/24 -T5 -oA pingscan,"Discovery, Collection","Network Service Scanning, Automated Collection"
2019_T01_004,nationals-t1-vdi-kali02,Attacker,root 30283 0 0.1 00:00:00 0.0 7012 53748 pts/0 S 00:09 nmap -sn_10.0.2.0/24_-oG_2-hosts.txt,"Discovery, Collection","Network Service Scanning, Automated Collection"
2019_T01_005,nationals-t1-vdi-kali02,Attacker,nmap -sn 10.0.2.0/24 -oG 2-hosts.txt &,"Discovery, Collection","Network Service Scanning, Automated Collection"
2019_T01_006,nationals-t1-vdi-kali01,Attacker,root 19197 1 1.2 00:00:00 0.1 13188 32672 pts/1 S 00:04 psql -h_10.0.2.100_-U_postgres,Lateral Movement,Valid Accounts
2019_T01_007,nationals-t1-bank-core-01,Victim,"{""endtime"":""2019-11-23T02:13:24.274752Z"",""timestamp"":""2019-11-23T02:13:24.263838Z"",""bytes"":3922,""src_ip"":""10.0.254.201"",""src_mac"":""42:01:0A:00:02:01"",""src_port"":50374,""canceled"":1,""connection"":""10.0.2.100:5432"",""client_rtt"":447,""client_rtt_packets"":2,""client_rtt_sum"":894,""ack_packets_in"":4,""bytes_in"":1594,""data_packets_in"":6,""duplicate_packets_in"":0,""missing_packets_in"":0,""packets_in"":12,""app"":""ssl"",""server_rtt"":31,""server_rtt_packets"":1,""server_rtt_sum"":31,""dest_ip"":""10.0.2.100"",""dest_mac"":""42:01:0A:00:02:64"",""dest_port"":5432,""ack_packets_out"":2,""bytes_out"":2328,""data_packets_out"":7,""duplicate_packets_out"":0,""missing_packets_out"":0,""packets_out"":9,""tcp_status"":0,""time_taken"":11361,""flow_id"":""87e64f24-1d97-4339-9cf2-271ac86caceb"",""protocol_stack"":""ip:tcp:postgres:ssl:unknown"",""initial_rtt"":835}",Lateral Movement,Valid Accounts
2019_T01_008,nationals-t1-vdi-kali03,Attacker,root 8600 0 0.0 00:00:00 0.0 2508 19672 pts/0 S 11:57 ftp 10.0.1.12,Lateral Movement,Valid Accounts
2019_T01_009,nationals-t1-corp-corp-wsus-01,Victim,"AddressFamily=ipv4 AddressFamilyId=2 PacketType=transport PacketTypeId=2 Direction=inbound Protocol=TCP ProtocolId=6 LocalAddress=10.0.1.12 LocalPort=21 RemoteHostName=kali03.vdi.dinobank.us RemoteAddress=10.0.254.203 RemotePort=49650 ProcessName=""c:\program files (x86)\filezilla server\filezilla server.exe"" UserName=""nt authority\system"" UserSid=s-1-5-18 UserId=0-0 HeaderSizeBytes=20 IPsecProtected=0 TransportHeaderSizeBytes=32",Lateral Movement,Valid Accounts
2019_T01_011,nationals-t1-vdi-kali06,Attacker,nmap -n 10.0.1.0/24 -T5 -oA pingscan,"Discovery, Collection","Network Service Scanning, Automated Collection"
