ID,Event,Tactic,Technique
2018_T01_001,root 13433 0 14.5 00:00:00 0.8 64908 81868 pts/0 S 00:06 nmap -sV_-sC_-O_-v_-A_10.0.1.0/24_-T_5,Discovery,Network Service Scanning
2018_T01_002,root 25293 0 28.5 00:00:00 0.8 64172 83640 pts/0 S 00:02 nmap -sV_-sC_-O_-v_-A_10.0.2.0/24_-v_-T_5_-oN_automotivescan.txt,Discovery,Network Service Scanning
2018_T01_003,root 26519 1 7.2 00:00:00 0.8 64256 83776 pts/1 S 00:11 nmap -sV_-sC_-O_-v_-A_10.0.0.0/24_-v__T_5_-oN_corporatenetwork.txt,Discovery,Network Service Scanning
2018_T01_004,root 12720 0 0.0 00:00:00 0.0 3108 6972 pts/0 S 00:22 bash ./onetwopunch.sh_-t_production.txt_-i_ens4,Discovery,Network Service Scanning
2018_T01_005,root 13471 0 0.0 00:00:00 0.0 3188 6972 pts/0 S 00:26 bash ./onetwopunch.sh_-t_corporate.txt_-i_ens4,Discovery,Network Service Scanning
2018_T01_006,root 5896 1 0.0 00:00:00 0.0 3188 6972 pts/3 S 00:19 bash ./onetwopunch.sh_-t_newcorp.txt_-i_ens4,Discovery,Network Service Scanning
2018_T01_007,root 25195 1 0.0 00:00:00 0.0 3096 6972 pts/4 S 00:07 bash ./onetwopunch.sh_-t_bob.txt_-i_ens4,Discovery,Network Service Scanning
2018_T01_008,"root 20112 1 0.0 00:00:00 0.5 39408 56364 pts/0 S 00:00 nmap -e_ens4_-sV_-oX_/root/.onetwopunch/ndir/10.0.0.20-tcp.xml_-oG_/root/.onetwopunch/ndir/10.0.0.20-tcp.grep_-p_22,3000,27017,_10.0.0.20",Discovery,Network Service Scanning
2018_T01_009,2018-11-03T15:12:39.154+0000 I NETWORK [listener] connection accepted from 10.0.254.206:57940 #26 (21 connections now open),"Credential Access, Initial Access","Brute Force, Valid Accounts"
2018_T01_010,root 27160 1 0.2 00:00:00 0.4 36492 764528 pts/1 S 00:27 mongo --port_27017_10.0.0.20,Credential Access,Brute Force
2018_T01_011,Proto Recv-Q Send-Q LocalAddress ForeignAddress State ... tcp 0 0 10.0.254.206:57940 10.0.0.20:27017 ESTAB ...,Initial Access,Valid Accounts
2018_T01_012,"{""timestamp"":""2018-11-03T15:15:41.245138+0000"",""flow_id"":1368912292173981,""in_iface"":""ens4"",""event_type"":""alert"",""src_ip"":""10.0.254.206"",""src_port"":57940,""dest_ip"":""10.0.0.20"",""dest_port"":27017,""proto"":""TCP"",""alert"":{""action"":""allowed"",""gid"":1,""signature_id"":2809505,""rev"":1,""signature"":""ETPRO ATTACK_RESPONSE MongoDB Database Enumeration Request"",""category"":""Successful Administrator Privilege Gain"",""severity"":1},""app_proto"":""failed"",""payload"":""DgEAAAAAAAAAAAAA1AcAAAAAAABhZG1pbi4kY21kAAAAAAABAAAA5wAAABBpc01hc3RlcgABAAAAA2NsaWVudADMAAAAA2FwcGxpY2F0aW9uAB0AAAACbmFtZQAOAAAATW9uZ29EQiBTaGVsbAAAA2RyaXZlcgA6AAAAAm5hbWUAGAAAAE1vbmdvREIgSW50ZXJuYWwgQ2xpZW50AAJ2ZXJzaW9uAAYAAAAzLjYuMwAAA29zAFcAAAACdHlwZQAGAAAATGludXgAAm5hbWUABQAAAEthbGkAAmFyY2hpdGVjdHVyZQAHAAAAeDg2XzY0AAJ2ZXJzaW9uAA0AAABrYWxpLXJvbGxpbmcAAAAAOQAAAAEAAAAAAAAA3QcAAAAAAAAAJAAAABB3aGF0c215dXJpAAEAAAACJGRiAAYAAABhZG1pbgAAPAAAAAIAAAAAAAAA3QcAAAAAAAAAJwAAAAFidWlsZGluZm8AAAAAAAAA8D8CJGRiAAYAAABhZG1pbgAARQAAAAMAAAAAAAAA3QcAAAAAAAAAMAAAAAJnZXRMb2cAEAAAAHN0YXJ0dXBXYXJuaW5ncwACJGRiAAYAAABhZG1pbgAATAAAAAQAAAAAAAAA3QcAAAAAAAAANwAAAAFpc01hc3RlcgAAAAAAAADwPwFmb3JTaGVsbAAAAAAAAADwPwIkZGIABQAAAHRlc3QAADsAAAAFAAAAAAAAAN0HAAAAAAAAACYAAAABYnVpbGRJbmZvAAAAAAAAAPA\/AiRkYgAFAAAAdGVzdAAATAAAAAYAAAAAAAAA3QcAAAAAAAAANwAAAAFpc01hc3RlcgAAAAAAAADwPwFmb3JTaGVsbAAAAAAAAADwPwIkZGIABQAAAHRlc3QAAFUAAAAHAAAAAAAAAN0HAAAAAAAAAEAAAAABcmVwbFNldEdldFN0YXR1cwAAAAAAAADwPwFmb3JTaGVsbAAAAAAAAADwPwIkZGIABgAAAGFkbWluAAA7AAAACAAAAAAAAADdBwAAAAAAAAAmAAAAAWhvc3RJbmZvAAAAAAAAAPA\/AiRkYgAGAAAAYWRtaW4AAEwAAAAJAAAAAAAAAN0HAAAAAAAAADcAAAABaXNNYXN0ZXIAAAAAAAAA8D8BZm9yU2hlbGwAAAAAAAAA8D8CJGRiAAUAAAB0ZXN0AAA7AAAACgAAAAAAAADdBwAAAAAAAAAmAAAAAXVzZXJzSW5mbwAAAAAAAADwPwIkZGIABQAAAHRlc3QAAEwAAAALAAAAAAAAAN0HAAAAAAAAADcAAAABaXNNYXN0ZXIAAAAAAAAA8D8BZm9yU2hlbGwAAAAAAAAA8D8CJGRiAAUAAAB0ZXN0AAA7AAAADAAAAAAAAADdBwAAAAAAAAAmAAAAAXVzZXJzSW5mbwAAAAAAAADwPwIkZGIABQAAAHRlc3QAAEwAAAANAAAAAAAAAN0HAAAAAAAAADcAAAABaXNNYXN0ZXIAAAAAAAAA8D8BZm9yU2hlbGwAAAAAAAAA8D8CJGRiAAUAAAB0ZXN0AABAAAAADgAAAAAAAADdBwAAAAAAAAArAAAAAWxpc3REYXRhYmFzZXMAAAAAAAAA8D8CJGRiAAYAAABhZG1pbgAATAAAAA8AAAAAAAAA3QcAAAAAAAAANwAAAAFpc01hc3RlcgAAAAAAAADwPwFmb3JTaGVsbAAAAAAAAADwPwIkZGIABQAAAHRlc3QAAFIAAAAQAAAAAAAAAN0HAAAAAAAAAD0AAAABaXNNYXN0ZXIAAAAAAAAA8D8BZm9yU2hlbGwAAAAAAAAA8D8CJGRiAAsAAAByb2NrZXRjaGF0AABUAAAAEQAAAAAAAADdBwAAAAAAAAA\/AAAAAWxpc3RDb2xsZWN0aW9ucwAAAAAAAADwPwNmaWx0ZXIABQAAAAACJGRiAAsAAAByb2NrZXRjaGF0AABSAAAAEgAAAAAAAADdBwAAAAAAAAA9AAAAAWlzTWFzdGVyAAAAAAAAAPA\/AWZvclNoZWxsAAAAAAAAAPA\/AiRkYgALAAAAcm9ja2V0Y2hhdAAAYAAAABMAAAAAAAAA3QcAAAAAAAAASwAAAAJmaW5kABsAAAByb2NrZXRjaGF0X3VzZXJfZGF0YV9maWxlcwADZmlsdGVyAAUAAAAAAiRkYgALAAAAcm9ja2V0Y2hhdAAAUgAAABQAAAAAAAAA3QcAAAAAAAAAPQAAAAFpc01hc3RlcgAAAAAAAADwPwFmb3JTaGVsbAAAAAAAAADwPwIkZGIACwAAAHJvY2tldGNoYXQAAEsAAAAVAAAAAAAAAN0HAAAAAAAAADYAAAACZmluZAAGAAAAdXNlcnMAA2ZpbHRlcgAFAAAAAAIkZGIACwAAAHJvY2tldGNoYXQAAFIAAAAWAAAAAAAAAN0HAAAAAAAAAD0AAAABaXNNYXN0ZXIAAAAAAAAA8D8BZm9yU2hlbGwAAAAAAAAA8D8CJGRiAAsAAAByb2NrZXRjaGF0AABSAAAAFwAAAAAAAADdBwAAAAAAAAA9AAAAAWlzTWFzdGVyAAAAAAAAAPA\/AWZvclNoZWxsAAAAAAAAAPA\/AiRkYgALAAAAcm9ja2V0Y2hhdAAAUgAAABgAAAAAAAAA3QcAAAAAAAAAPQAAAAFpc01hc3RlcgAAAAAAAADwPwFmb3JTaGVsbAAAAAAAAADwPwIkZGIACwAAAHJvY2tldGNoYXQAAA=="",""stream"":1,""packet"":""QgEKAAAUQgEKAAABCABFAAA0WWxAAEAGznUKAP7OCgAAFOJUaYlk3RhzMLOLjYARBC+WaAAAAQEICuGRS7hjbrMa"",""packet_info"":{""linktype"":1}}",Privilege Escalation,Exploitation for Privilege Escalation
2018_T01_013,"{""endtime"":""2018-11-03T15:58:29.651467Z"",""timestamp"":""2018-11-03T15:58:29.647036Z"",""bytes"":982,""src_mac"":""42:01:0A:00:00:01"",""src_port"":58894,""bytes_in"":626,""dest_ip"":""10.0.0.20"",""dest_mac"":""42:01:0A:00:00:14"",""dest_port"":3000,""bytes_out"":356,""time_taken"":4536,""transport"":""tcp"",""flow_id"":""6f6d15cb-dba4-40f7-bb7b-dc88dfa904e7"",""src_ip"":""10.0.254.201"",""http_comment"":""HTTP/1.1 200 OK"",""http_content_type"":""application/json"",""cookie"":""connect.sid=s%3AfYJrRR89aOj3feN7pjvObnM56PdyBjW4.Ha4IuN8YprWrnoCTp6Ad2XvW29gMVmQWg1NWe0fwssI; rc_uid=2zaizTrt4tchtWbrX; rc_token=C1wyZDQcPkkag6gLdtMZThHWLEjIYxyT4IKvdBIP3mW"",""site"":""10.0.0.20:3000"",""http_method"":""GET"",""http_referrer"":""http://10.0.0.20:3000/home"",""status"":200,""uri_path"":""/api/apps/languages"",""http_user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:61.0) Gecko/20100101 Firefox/61.0"",""protocol_stack"":""ip:tcp:http""}",Privilege Escalation,Valid Accounts
2018_T01_014,Nov 3 16:00:27 mail-00 sshd[15437]: Accepted password for jerrold.reddick from 10.0.254.206 port 37360 ssh2,Lateral Movement,"Valid Accounts, Remote Services"
2018_T01_015,root 10713 1 0.0 00:00:00 0.0 6300 14844 pts/1 S 00:20 ssh jerrold.reddick@10.0.0.22,Lateral Movement,"Valid Accounts, Remote Services"
2018_T01_016,root 26519 1 7.2 00:00:00 0.8 64256 83776 pts/1 S 00:11 nmap -sV_-sC_-O_-v_-A_10.0.0.0/24_-v__T_5_-oN_corporatenetwork.txt,Discovery,Network Service Scanning
2018_T01_017,"{""endtime"":""2018-11-03T14:39:18.809084Z"",""timestamp"":""2018-11-03T14:39:18.801236Z"",""bytes"":4763,""src_mac"":""42:01:0A:00:00:01"",""src_port"":60402,""bytes_in"":198,""dest_ip"":""10.0.0.176"",""dest_mac"":""42:01:0A:00:00:B0"",""dest_port"":80,""bytes_out"":4565,""time_taken"":7935,""transport"":""tcp"",""flow_id"":""b086b5de-9bf2-45d7-a1da-a90e6a43e85c"",""src_ip"":""10.0.254.205"",""http_comment"":""HTTP/1.1 200 OK"",""http_content_length"":4330,""http_content_type"":""text/html; charset=utf-8"",""site"":""nationals-t1-corp-onramp-00.c.security-competitions.internal"",""http_method"":""GET"",""server"":""nginx/1.14.0 (Ubuntu)"",""status"":200,""uri_path"":""/"",""http_user_agent"":""Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"",""protocol_stack"":""ip:tcp:http""}",Discovery,Network Service Scanning
2018_T01_018,"{""endtime"":""2018-11-03T16:19:55.424118Z"",""timestamp"":""2018-11-03T16:19:55.422436Z"",""bytes"":734,""src_mac"":""42:01:0A:00:00:01"",""src_port"":50253,""bytes_in"":418,""dest_ip"":""10.0.0.176"",""dest_mac"":""42:01:0A:00:00:B0"",""dest_port"":80,""bytes_out"":316,""time_taken"":1682,""transport"":""tcp"",""flow_id"":""96b11df7-3ab9-4b0f-8fae-0c0458be6362"",""src_ip"":""10.0.254.104"",""http_comment"":""HTTP/1.1 200 OK"",""http_content_length"":73,""http_content_type"":""application/json; charset=utf-8"",""site"":""10.0.0.176"",""http_method"":""GET"",""http_referrer"":""http://10.0.0.176/about"",""server"":""nginx/1.14.0 (Ubuntu)"",""status"":200,""uri_path"":""/api/v1"",""http_user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"",""protocol_stack"":""ip:tcp:http""}",Initial Access,Drive-by Compromise
